"trait_type_resource","trait_resource","trait_type_consumer","trait_consumer"
"tiering","nektopelagic","tiering","nektopelagic"
"tiering","benthopelagic","tiering","nektopelagic"
"tiering","epifaunal","tiering","nektopelagic"
"tiering","semi_infaunal","tiering","nektopelagic"
"tiering","primary","tiering","nektopelagic"
"tiering","zooplankton","tiering","nektopelagic"
"tiering","nektopelagic","tiering","benthopelagic"
"tiering","benthopelagic","tiering","benthopelagic"
"tiering","epifaunal","tiering","benthopelagic"
"tiering","semi_infaunal","tiering","benthopelagic"
"tiering","shallow_infaunal","tiering","benthopelagic"
"tiering","primary","tiering","benthopelagic"
"tiering","zooplankton","tiering","benthopelagic"
"tiering","benthopelagic","tiering","epifaunal"
"tiering","epifaunal","tiering","epifaunal"
"tiering","semi_infaunal","tiering","epifaunal"
"tiering","shallow_infaunal","tiering","epifaunal"
"tiering","primary","tiering","epifaunal"
"tiering","zooplankton","tiering","epifaunal"
"tiering","epifaunal","tiering","semi_infaunal"
"tiering","semi_infaunal","tiering","semi_infaunal"
"tiering","shallow_infaunal","tiering","semi_infaunal"
"tiering","deep_infaunal","tiering","semi_infaunal"
"tiering","primary","tiering","semi_infaunal"
"tiering","zooplankton","tiering","semi_infaunal"
"tiering","semi_infaunal","tiering","shallow_infaunal"
"tiering","shallow_infaunal","tiering","shallow_infaunal"
"tiering","deep_infaunal","tiering","shallow_infaunal"
"tiering","primary","tiering","shallow_infaunal"
"tiering","zooplankton","tiering","shallow_infaunal"
"tiering","shallow_infaunal","tiering","deep_infaunal"
"tiering","deep_infaunal","tiering","deep_infaunal"
"tiering","primary","tiering","deep_infaunal"
"tiering","zooplankton","tiering","deep_infaunal"
"tiering","primary","tiering","zooplankton"
"motility","fast_moving","motility","fast_moving"
"motility","slow_moving","motility","fast_moving"
"motility","facultative","motility","fast_moving"
"motility","non_motile_attached","motility","fast_moving"
"motility","non_motile_unattached","motility","fast_moving"
"motility","primary","motility","fast_moving"
"motility","zooplankton","motility","fast_moving"
"motility","slow_moving","motility","slow_moving"
"motility","facultative","motility","slow_moving"
"motility","non_motile_attached","motility","slow_moving"
"motility","non_motile_unattached","motility","slow_moving"
"motility","primary","motility","slow_moving"
"motility","zooplankton","motility","slow_moving"
"motility","facultative","motility","facultative"
"motility","non_motile_attached","motility","facultative"
"motility","non_motile_unattached","motility","facultative"
"motility","primary","motility","facultative"
"motility","zooplankton","motility","facultative"
"motility","primary","motility","non_motile_attached"
"motility","zooplankton","motility","non_motile_attached"
"motility","primary","motility","non_motile_unattached"
"motility","zooplankton","motility","non_motile_unattached"
"motility","primary","motility","zooplankton"
"feeding","carnivore","feeding","omnivore"
"feeding","microcarnivore","feeding","omnivore"
"feeding","omnivore","feeding","omnivore"
"feeding","primary","feeding","omnivore"
"feeding","herbivore","feeding","omnivore"
"feeding","carnivore","feeding","carnivore"
"feeding","microcarnivore","feeding","carnivore"
"feeding","omnivore","feeding","carnivore"
"feeding","herbivore","feeding","carnivore"
"feeding","zooplankton","feeding","microcarnivore"
"feeding","primary","feeding","herbivore"
"feeding","primary","feeding","zooplankton"
"size","huge","size","huge"
"size","large","size","huge"
"size","primary","size","huge"
"size","zooplankton","size","huge"
"size","large","size","large"
"size","medium","size","large"
"size","primary","size","large"
"size","zooplankton","size","large"
"size","medium","size","medium"
"size","small","size","medium"
"size","primary","size","medium"
"size","zooplankton","size","medium"
"size","small","size","small"
"size","tiny","size","small"
"size","primary","size","small"
"size","zooplankton","size","small"
"size","tiny","size","tiny"
"size","primary","size","tiny"
"size","zooplankton","size","tiny"
"size","primary","size","zooplankton"
