node,location,time,rules,primary,downsample,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,S1,S2,S4,S5
guild,Dolomites,1,maximal,true,false,42,245,0.1388888888888889,38,0.8394558402655555,3.0,1.0,3.0,9.715254956087803,5.136747887699825,1.0,0.0,465.0,0.0
guild,Dolomites,1,maximal,true,false,42,245,0.1388888888888889,38,0.8394558402655555,3.0,1.0,3.0,9.715254956087803,5.136747887699825,1.0,0.0,465.0,0.0
guild,Dolomites,1,maximal,true,true,36,137,0.10570987654320987,33,0.8806891471446703,3.0,24.0,2.0,8.283613581538795,1.7536809360305041,7.0,6.0,5.0,121.0
guild,Dolomites,1,maximal,false,false,42,245,0.1388888888888889,38,0.8394558402655555,3.0,1.0,3.0,9.715254956087803,5.136747887699825,1.0,0.0,465.0,0.0
guild,Dolomites,1,maximal,false,true,34,138,0.11937716262975778,33,0.8749995479264424,3.0,23.0,1.0,8.45286817548676,1.5752090091349442,6.0,2.0,13.0,160.0
guild,Dolomites,2,maximal,true,false,16,51,0.19921875,15,0.9088272615107115,3.0,1.0,0.0,4.08605351572068,2.4554361459151544,2.0,0.0,37.0,0.0
guild,Dolomites,2,maximal,true,true,15,33,0.14666666666666667,14,0.8791433672119497,3.0,10.0,0.0,3.7644957924572813,1.0823255385643322,1.0,0.0,0.0,10.0
guild,Dolomites,2,maximal,false,false,16,51,0.19921875,15,0.9088272615107115,3.0,1.0,0.0,4.08605351572068,2.4554361459151544,2.0,0.0,37.0,0.0
guild,Dolomites,2,maximal,false,true,15,40,0.17777777777777778,14,0.8252779679618755,3.0,8.0,0.0,4.203173404306164,1.4474937289114918,0.0,0.0,3.0,0.0
guild,Dolomites,3,maximal,true,false,24,89,0.1545138888888889,22,0.8876693878934885,3.0,1.0,1.0,5.590980054607107,3.3424693639995207,3.0,0.0,108.0,0.0
guild,Dolomites,3,maximal,true,true,20,39,0.0975,19,0.916675867330914,3.0,13.0,0.0,4.273233707134385,0.9445132413883327,1.0,0.0,2.0,18.0
guild,Dolomites,3,maximal,false,false,24,89,0.1545138888888889,22,0.8876693878934885,3.0,1.0,1.0,5.590980054607107,3.3424693639995207,3.0,0.0,108.0,0.0
guild,Dolomites,3,maximal,false,true,22,44,0.09090909090909091,21,0.9039901142531319,3.0,16.0,0.0,4.44007721940573,1.1952286093343936,2.0,3.0,0.0,22.0
guild,Dolomites,4,maximal,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,4,maximal,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,4,maximal,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,4,maximal,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,5,maximal,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Dolomites,5,maximal,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
